"","theta1","item","prob"
"116",-3.6,"item_5",0.411440025284008
"117",-3.5,"item_5",0.41701679717454
"118",-3.4,"item_5",0.42272353772695
"119",-3.3,"item_5",0.428559536583461
"120",-3.2,"item_5",0.434523813385238
"121",-3.1,"item_5",0.440615108707795
"122",-3,"item_5",0.446831875893706
"123",-2.9,"item_5",0.453172273894689
"124",-2.8,"item_5",0.459634161233402
"125",-2.7,"item_5",0.466215091192105
"126",-2.6,"item_5",0.472912308330555
"127",-2.5,"item_5",0.479722746429149
"128",-2.4,"item_5",0.486643027945347
"129",-2.3,"item_5",0.493669465061781
"130",-2.2,"item_5",0.50079806239324
"131",-2.1,"item_5",0.508024521406993
"132",-2,"item_5",0.515344246596724
"133",-1.9,"item_5",0.522752353434918
"134",-1.8,"item_5",0.530243678111942
"135",-1.7,"item_5",0.537812789052585
"136",-1.6,"item_5",0.545454000182608
"137",-1.5,"item_5",0.553161385899317
"138",-1.4,"item_5",0.56092879768135
"139",-1.3,"item_5",0.568749882254351
"140",-1.2,"item_5",0.576618101211036
"141",-1.1,"item_5",0.58452675196686
"142",-1,"item_5",0.592468989916188
"143",-0.899999999999999,"item_5",0.600437851639054
"144",-0.8,"item_5",0.608426278995348
"145",-0.7,"item_5",0.61642714393199
"146",-0.6,"item_5",0.624433273819479
"147",-0.5,"item_5",0.632437477127347
"148",-0.399999999999999,"item_5",0.64043256924363
"149",-0.3,"item_5",0.648411398241611
"150",-0.199999999999999,"item_5",0.656366870397736
"151",-0.0999999999999996,"item_5",0.664291975267893
"152",0,"item_5",0.672179810134956
"153",0.100000000000001,"item_5",0.680023603648614
"154",0.2,"item_5",0.687816738488843
"155",0.300000000000001,"item_5",0.695552772896719
"156",0.4,"item_5",0.703225460930421
"157",0.5,"item_5",0.7108287713199
"158",0.600000000000001,"item_5",0.718356904810573
"159",0.7,"item_5",0.725804309904199
"160",0.800000000000001,"item_5",0.733165696923504
"161",0.9,"item_5",0.740436050345813
"162",1,"item_5",0.747610639369673
"163",1.1,"item_5",0.754685026696859
"164",1.2,"item_5",0.76165507552996
"165",1.3,"item_5",0.768516954802845
"166",1.4,"item_5",0.775267142677231
"167",1.5,"item_5",0.78190242835342
"168",1.6,"item_5",0.788419912256669
"169",1.7,"item_5",0.794817004672566
"170",1.8,"item_5",0.801091422915209
"171",1.9,"item_5",0.807241187120662
"172",2,"item_5",0.81326461476534
"173",2.1,"item_5",0.81916031401443
"174",2.2,"item_5",0.824927176009404
"175",2.3,"item_5",0.830564366206072
"176",2.4,"item_5",0.836071314875605
"177",2.5,"item_5",0.841447706880628
"178",2.6,"item_5",0.846693470836914
"179",2.7,"item_5",0.851808767768585
"180",2.8,"item_5",0.856793979361125
"181",2.9,"item_5",0.861649695912111
"182",3,"item_5",0.866376704074465
"183",3.1,"item_5",0.870975974481366
"184",3.2,"item_5",0.875448649335917
"185",3.3,"item_5",0.879796030042214
"186",3.4,"item_5",0.884019564947937
"187",3.5,"item_5",0.88812083726186
"188",3.6,"item_5",0.892101553202993
"189",3.7,"item_5",0.895963530431485
"190",3.8,"item_5",0.899708686804942
"191",3.9,"item_5",0.903339029497555
"192",4,"item_5",0.9068566445135
"193",4.1,"item_5",0.910263686620322
"194",4.2,"item_5",0.913562369722739
"195",4.3,"item_5",0.916754957692266
"196",4.4,"item_5",0.919843755663474
"197",4.5,"item_5",0.922831101803459
"198",4.6,"item_5",0.925719359557253
"199",4.7,"item_5",0.928510910368446
"200",4.8,"item_5",0.931208146871202
"201",4.9,"item_5",0.933813466547115
"202",5,"item_5",0.936329265837992
