subject,gender,itemnumber,a,b,c
Math,Female,92,1.275089274,0.206923677,0.246217532
Math,Female,93,1.175012209,0.41565059,0.224232235
Math,Female,94,0.492272344,0.044197135,0.326108428
Math,Female,95,0.997967233,-0.504909158,0.275603508
Math,Female,96,0.995609267,0.538612425,0.231534542
Math,Female,97,0.82493724,-0.058581001,0.210195184
Math,Female,98,0.757625986,0.814829549,0.233511857
Math,Female,99,1.523149944,0.598093664,0.206887133
Math,Female,100,0.796994887,-1.659858457,0.262803403
Math,Male,1,0.866030583,-0.633999553,0.215962189
Math,Male,2,0.798258711,0.984349911,0.282854014
Math,Male,3,1.066841244,0.292539668,0.286066636
Math,Male,4,0.455408712,1.88415458,0.213336753
Math,Male,5,1.132481504,0.220501869,0.239940278
Math,Male,6,1.419860313,1.364505143,0.281453753
Math,Male,7,0.679904434,-0.795903985,0.261022999
Math,Male,8,1.133662727,-0.126038685,0.279818229
Math,Male,9,0.681604023,-0.166007673,0.260759883
Math,Male,10,0.764533742,1.240586825,0.22569165
Math,Male,11,0.777663326,0.249308023,0.306014051
Math,Male,12,0.656691102,0.518408168,0.266880198
Math,Male,13,0.792047072,-0.618761869,0.29340852
Math,Male,14,1.043927581,0.661249049,0.226396064
Math,Male,15,0.817838455,-0.266391607,0.19153035
Math,Male,16,0.314858193,1.572834189,0.228893126
Math,Male,17,0.597186387,0.44438053,0.223755105
Math,Male,18,0.803513474,1.792047068,0.198794672
Math,Male,19,0.919310686,-0.089390156,0.245279554
Math,Male,20,1.177832496,0.689195955,0.260406544
Math,Male,21,0.679188867,0.393192354,0.240885851
Math,Male,22,0.504612413,0.585919379,0.279643056
Math,Male,23,1.569870288,-0.537306014,0.23657121
Math,Male,24,0.944637732,0.290848339,0.239233733
Math,Male,25,1.288596736,0.988071111,0.277518794
Math,Male,26,0.848339753,-0.302181132,0.277126145
Math,Male,27,1.179244179,0.162446395,0.263773009
Math,Male,28,1.04052186,-0.118122135,0.184624767
Math,Male,29,0.68221573,-0.674519891,0.239923726
Math,Male,30,1.142077943,1.085700354,0.282834017
Math,Male,31,1.558703493,1.292221572,0.264581337
Math,Male,32,1.385995151,0.743405635,0.312406337
Math,Male,33,1.172075875,0.629970858,0.245296865
Math,Male,34,0.674090101,0.142136137,0.182885318
Math,Male,35,1.010576701,1.511686603,0.229239237
Math,Male,36,1.033511817,-0.288639544,0.230790916
Math,Male,37,0.957319147,1.61246967,0.222544479
Math,Male,38,1.116539313,0.460648089,0.266422031
Math,Male,39,1.568103021,0.994207843,0.284145406
Math,Male,40,0.839865914,-1.42943118,0.254792491
Math,Male,41,0.697758005,0.040233021,0.287646162
Math,Male,42,0.748015154,0.481559427,0.237874409
Math,Male,43,0.959727421,2.364124734,0.275472395
Math,Male,44,1.199337385,0.236448127,0.270187799
Math,Male,45,0.585395748,1.577781419,0.213426469
Math,Male,46,0.706467255,0.040259495,0.213856322
Math,Male,47,1.108093034,1.314697569,0.286389998
Math,Male,48,1.023982513,-0.606929062,0.31953541
Math,Male,49,1.175371727,-0.17894248,0.266601515
Math,Male,50,1.166024715,1.197315931,0.289593734
Math,Male,51,1.690688073,-0.296111213,0.231188066
Math,Male,52,1.558378021,0.836852712,0.303912305
Math,Male,53,0.946025838,-0.343605619,0.246799895
Math,Male,54,1.217140337,-1.005173857,0.282575446
Math,Male,55,0.551364516,1.01467606,0.242601138
Math,Male,56,0.936919686,-0.762486672,0.271270958
Math,Male,57,0.920840145,-2.051989694,0.269180889
Math,Male,58,0.641159954,-0.256442213,0.243369866
Math,Male,59,0.921415016,-0.094878802,0.271509692
Math,Male,60,1.144012412,0.785288403,0.316278329
Math,Male,61,1.004336187,0.22879264,0.274876433
Math,Male,62,1.082944288,0.476692168,0.215572273
Math,Male,63,1.350556978,1.697660611,0.27418274
Math,Male,64,0.910725129,0.858079022,0.289613006
Math,Male,65,0.886355252,-0.376793793,0.230855812
Math,Male,66,1.757809499,0.855957997,0.258081194
Math,Male,67,1.354240832,-0.462610806,0.271759946
Math,Male,68,0.740293264,0.047156892,0.258306214
Math,Male,69,0.85525606,0.090343633,0.282261328
Math,Male,70,1.33447689,-0.453526599,0.228234529
Math,Male,71,0.873789099,0.691212039,0.291265923
Math,Male,72,1.027743847,0.92406477,0.222521221
Math,Male,73,0.779357728,-1.131366381,0.265207051
Math,Male,74,1.293283054,1.463891942,0.284140335
Math,Male,75,0.708379604,1.311315442,0.236942536
Math,Male,76,0.950309808,-1.541320641,0.276856549
Math,Male,77,1.087162298,-0.975101987,0.25939301
Math,Male,78,0.667041586,-0.089074713,0.220260792
Math,Male,79,0.905601222,1.111149285,0.283276675
Math,Male,80,1.141617042,0.521623178,0.29002257
Math,Male,81,1.135603112,-1.345721227,0.216245112
Math,Male,82,1.111794723,0.557126206,0.227010661
Math,Male,83,1.012962867,-0.835200326,0.214840731
Math,Male,84,0.656202289,2.297576285,0.243484714
Math,Male,85,1.548619803,1.357699906,0.266462252
Math,Male,86,0.707327837,1.85447397,0.292183031
Math,Male,87,1.327130436,-0.262774414,0.260826919
Math,Male,88,1.096027279,-0.229181332,0.235614395
Math,Male,89,0.980254531,0.95811463,0.213102869
Math,Male,90,0.64900597,1.940998508,0.159465692
Math,Male,91,0.844358355,1.245472191,0.260667674
Math,Male,92,0.724576772,-0.210174167,0.171253572
Math,Male,93,1.346882399,-0.353213642,0.236940522
Math,Male,94,1.379659261,0.536292889,0.291324304
Math,Male,95,1.115062739,-0.148911902,0.217409619
Math,Male,96,0.660222009,-0.431199315,0.266327593
Math,Male,97,1.293305329,-0.67896677,0.263085849
Math,Male,98,1.125710832,-0.430339114,0.31476966
Math,Male,99,0.909004008,0.120681461,0.24639763
Math,Male,100,0.581056405,0.518735461,0.243385012
